OBJECTID_1,OBJECTID,NAME,CCR,Area_sq_mi,Study_Regi,FULLNAME,Type,DFG_URL,CCR_Int,SHORTNAME,Acres,Hectares,Shape__Area,Shape__Length
1,1,Pyramid Point SMCA,Section 632 (b) (1),13.9935561,NCSR,Pyramid Point State Marine Conservation Area,SMCA,https://www.wildlife.ca.gov/Conservation/Marine/MPAs/Network/Title-14-Section-632#Section-632-b-1,1,Pyramid Point,8955.911523,3624.328806,65634640.46,36841.20996
2,2,Point St. George Reef Offshore SMCA,Section 632 (b) (2),9.52324022,NCSR,Point St. George Reef Offshore State Marine Conservation Area,SMCA,https://www.wildlife.ca.gov/Conservation/Marine/MPAs/Network/Title-14-Section-632#Section-632-b-2,2,Point St. George Reef Offshore,6094.897977,2466.517702,44473990.09,25879.58167
3,3,Southwest Seal Rock Special Closure,Section 632 (b) (3),0.02234482,NCSR,Southwest Seal Rock Special Closure,Special Closure,https://www.wildlife.ca.gov/Conservation/Marine/MPAs/Network/Title-14-Section-632#Section-632-b-3,3,Southwest Seal Rock,14.30073886,5.78730369,104261.2031,1638.296108
4,4,Castle Rock Special Closure,Section 632 (b) (4),0.05377085,NCSR,Castle Rock Special Closure,Special Closure,https://www.wildlife.ca.gov/Conservation/Marine/MPAs/Network/Title-14-Section-632#Section-632-b-4,4,Castle Rock,34.41348201,13.92664207,250489.0938,3697.977977
5,5,False Klamath Rock Special Closure,Section 632 (b) (5),0.02679051,NCSR,False Klamath Rock Special Closure,Special Closure,https://www.wildlife.ca.gov/Conservation/Marine/MPAs/Network/Title-14-Section-632#Section-632-b-5,5,False Klamath Rock,17.14599171,6.93873667,124159.6016,2005.228679
6,7,Reading Rock SMR,Section 632 (b) (7),9.60277944,NCSR,Reading Rock State Marine Reserve,SMR,https://www.wildlife.ca.gov/Conservation/Marine/MPAs/Network/Title-14-Section-632#Section-632-b-7,7,Reading Rock,6145.803282,2487.118348,44122589.13,26835.52822
7,8,Samoa SMCA,Section 632 (b) (8),13.06327606,NCSR,Samoa State Marine Conservation Area,SMCA,https://www.wildlife.ca.gov/Conservation/Marine/MPAs/Network/Title-14-Section-632#Section-632-b-8,8,Samoa,8360.529928,3383.386423,59264006.93,31815.08863
8,9,South Humboldt Bay SMRMA,Section 632 (b) (9),0.80535423,NCSR,South Humboldt Bay State Marine Recreational Managment Area,SMRMA,https://www.wildlife.ca.gov/Conservation/Marine/MPAs/Network/Title-14-Section-632#Section-632-b-9,9,South Humboldt Bay,515.4287552,208.5866168,3633597.902,8616.237747
9,10,Sugarloaf Island Special Closure,Section 632 (b) (10),0.03248719,NCSR,Sugarloaf Island Special Closure,Special Closure,https://www.wildlife.ca.gov/Conservation/Marine/MPAs/Network/Title-14-Section-632#Section-632-b-10,10,Sugarloaf Island,20.79188457,8.41417716,145410.2813,2461.811752
10,12,Steamboat Rock Special Closure,Section 632 (b) (12),0.01789157,NCSR,Steamboat Rock Special Closure,Special Closure,https://www.wildlife.ca.gov/Conservation/Marine/MPAs/Network/Title-14-Section-632#Section-632-b-12,12,Steamboat Rock,11.45065057,4.63391388,80026.13281,1333.875685
11,13,Mattole Canyon SMR,Section 632 (b) (13),9.79397262,NCSR,Mattole Canyon State Marine Reserve,SMR,https://www.wildlife.ca.gov/Conservation/Marine/MPAs/Network/Title-14-Section-632#Section-632-b-13,13,Mattole Canyon,6268.167404,2536.637352,43669210.21,27436.88954
12,14,Sea Lion Gulch SMR,Section 632 (b) (14),10.41629031,NCSR,Sea Lion Gulch State Marine Reserve,SMR,https://www.wildlife.ca.gov/Conservation/Marine/MPAs/Network/Title-14-Section-632#Section-632-b-14,14,Sea Lion Gulch,6666.452308,2697.817534,46336709.21,33274.59273
13,15,Big Flat SMCA,Section 632 (b) (15),11.58751591,NCSR,Big Flat State Marine Conservation Area,SMCA,https://www.wildlife.ca.gov/Conservation/Marine/MPAs/Network/Title-14-Section-632#Section-632-b-15,15,Big Flat,7416.039675,3001.164779,51409227.75,37728.10129
14,16,Double Cone Rock SMCA,Section 632 (b) (16),18.49257879,NCSR,Double Cone Rock State Marine Conservation Area,SMCA,https://www.wildlife.ca.gov/Conservation/Marine/MPAs/Network/Title-14-Section-632#Section-632-b-16,16,Double Cone Rock,11835.29749,4789.574966,81178109.22,44209.06398
