ScientificName,Independent_variable,Range,a,b,r2,p,N,RMSE,Smearing_estimate,Source,CommonName,LW_Equation
Acarnus sp.,percent cover,5 - 90,.,0.803,0.94,<.001,10,.,.,Reed 2016,NA,C*0.803
Cliona celata,percent cover,5 - 55,.,0.918,0.98,<.001,10,.,.,Reed 2016,NA,C*0.918
Halichondria panicea,percent cover,5 - 100,.,2.335,0.96,<.001,10,.,.,Reed 2016,NA,C*2.335
Leucilla nuttingi,percent cover,5 - 90,.,0.193,0.96,<.001,21,.,.,Reed 2016,NA,C*0.193
Tethya aurantia,diameter,12-81,3.0 x 10-3,2.471,0.97,<.001,14,0.2068,1.02,Reed 2016,orange puffball sponge,3.0 x 10-3*L^2.471
Abietinaria sp.,percent cover,5 - 100,.,0.049,0.98,<.001,30,.,.,Reed 2016,NA,C*0.049
Aglaophenia sp.,percent cover,5 - 100,.,0.217,0.91,<.001,37,.,.,Reed 2016,NA,C*0.217
Anthopleura artemisia,disc diameter,7 - 19,2.7 x 10-2,1.492,0.79,0.008,7,0.2348,1.03,Reed 2016,NA,2.7 x 10-2*L^1.492
Astrangia lajollaensis,percent cover,5 - 100,.,0.048,0.87,<.001,10,.,.,Reed 2016,La Jolla cup coral,C*0.048
Balanophyllia elegans,disc diameter,6 - 13,6.0 x 10-3,2.001,0.72,<.001,28,0.238,1.03,Reed 2016,orange cup coral,6.0 x 10-3*L^2.001
Corynactis californicus,percent cover,5 - 100,.,0.284,0.8,<.001,24,.,.,Reed 2016,club-tipped anemone,C*0.284
Epiactis prolifera,percent cover,5 - 75,.,0.349,0.99,<.001,15,.,.,Reed 2016,NA,C*0.349
Hydractinia milleri,percent cover,5 - 100,.,0.030,0.93,<.001,19,.,.,Reed 2016,NA,C*0.030
Lophogorgia chilensis,colony width,70 - 410,1.8 x 10-2,1.529,0.71,<.001,25,0.4641,1.12,Reed 2016,red gorgonian,1.8 x 10-2*L^1.529
Muricea californica,colony width,8 - 327,2.0 x 10-3,2.001,0.68,0.003,10,0.4755,1.11,Reed 2016,California golden gorgonian,2.0 x 10-3*L^2.001
Pachycerianthus fimbriatus,disc diameter,14 - 37,1.1 x 10-1,1.597,0.9,<.001,15,0.132,1.01,Reed 2016,NA,1.1 x 10-1*L^1.597
Paracyathus stearnsii,percent cover,5 - 100,.,0.545,0.99,<.001,28,.,.,Reed 2016,NA,C*0.545
Phyllactis spp.,disc diameter,6 - 15,6.0 x 10-3,1.799,0.46,<.001,25,0.4115,1.10,Reed 2016,NA,6.0 x 10-3*L^1.799
Plumularia sp.,percent cover,5 - 100,.,0.012,0.95,<.001,14,.,.,Reed 2016,NA,C*0.012
Urticina lofotensis,disc diameter,40 - 186,3.9 x 10-1,1.040,0.74,0.001,10,0.273,1.04,Reed 2016,white-spotted rose anemone,3.9 x 10-1*L^1.040
Cirriformia luxuriosa,percent cover,5 - 90,.,0.195,0.99,<.001,15,.,.,Reed 2016,NA,C*0.195
Dodecaceria fewkesi,percent cover,5 - 100,.,0.322,0.7,<.001,21,.,.,Reed 2016,NA,C*0.322
Eudistylia polymorpha,body diameter,3-10,2.3 x 10-1,1.426,0.34,0.007,20,0.5313,1.15,Reed 2016,NA,2.3 x 10-1*(L*2)^1.426
Phragmatopoma californica,percent cover,5 - 100,.,0.014,0.72,<.001,22,.,.,Reed 2016,colonial sand-tube worm,C*0.014
Salmacina tribranchiata,percent cover,5 - 100,.,2.307,0.96,<.001,30,.,.,Reed 2016,NA,C*2.307
Aplysia californica,retracted length,70 - 280,1.9 x 10-1,1.575,0.51,<.001,30,0.5659,1.16,Reed 2016,California brown sea hare,1.9 x 10-1*L^1.575
Calliostoma tricolor,shell length,12-17,1.3 x 10-4,3.360,0.99,<.001,6,0.0459,1.00,Reed 2016,NA,1.3 x 10-4*L^3.360
Chaceia ovoidea,siphon diameter,16 - 35,5.9,1.058,0.99,<.001,6,0.0256,1.00,Reed 2016,NA,5.9*L^1.058
Conus californicus,shell length,8-27,7.5 x 10-4,2.578,0.97,<.001,80,0.1225,1.01,Reed 2016,NA,7.5 x 10-4*L^2.578
Crassedoma giganteum,shell length,68 - 190,9.6 x 10-4,2.733,0.85,<.001,15,0.3917,1.08,Reed 2016,rock scallop,9.6 x 10-4*L^2.733
Cypraea spadicea,shell length,33 - 50,6.0 x 10-3,2.114,0.76,<.001,27,0.1104,1.01,Reed 2016,chestnut cowrie,6.0 x 10-3*L^2.114
Doriopsilla albopunctata,retracted length,14 -112,1.3 x 10-4,2.801,0.97,<.001,14,0.3618,1.07,Reed 2016,NA,1.3 x 10-4*L^2.801
Haliotis rufescens,shell length,30 - 171,4.2 x 10-4,2.797,0.95,<.001,25,0.2401,1.03,Reed 2016,red abalone,4.2 x 10-4*L^2.797
Haliotis rufescens,shell length,30 - 171,4.2 x 10-4,2.797,0.95,<.001,25,0.2401,1.03,Reed 2016,"red abalone,  aquacultured",4.2 x 10-4*L^2.797
Kelletia kelletii,shell length,14 - 135,1.5 x 10-4,2.932,0.99,<.001,49,0.1455,1.01,Reed 2016,Kellet's whelk,1.5 x 10-4*L^2.932
Lithophaga plumula,siphon diameter,1 - 5,8.9 x 10-1,1.031,0.33,0.004,23,0.7054,1.25,Reed 2016,NA,8.9 x 10-1*L^1.031
Lithopoma gibberosa,shell length,19 - 127,6.5 x 10-4,2.823,0.97,<.001,97,0.2954,1.05,Reed 2016,red turban snail,6.5 x 10-4*L^2.823
Megathura crenulata,body length,79 - 126,2.5 x 10-2,1.932,0.76,<.001,26,0.1439,1.01,Reed 2016,giant keyhole limpet,2.5 x 10-2*L^1.932
Mitra idae,shell length,9 - 65,9.7 x 10-4,2.377,0.99,<.001,34,0.1196,1.01,Reed 2016,NA,9.7 x 10-4*L^2.377
Mytilus californianus,shell length,31 - 143,2.0 x 10-3,2.078,0.61,<.001,19,0.6731,1.26,Reed 2016,NA,2.0 x 10-3*L^2.078
Mytilus galloprovincialis,shell length,26 - 86,1.2 x 10-5,3.382,0.7,<.001,20,0.6494,1.22,Reed 2016,NA,1.2 x 10-5*L^3.382
Norrisia norrisi,shell length,21 - 67,1.0 x 10-3,2.676,0.82,<.001,33,0.3269,1.06,Reed 2016,NA,1.0 x 10-3*L^2.676
Octopus bimaculoides,arm length,150 - 450,2.3 x 10-2,1.631,0.83,<.001,10,0.2592,1.03,Reed 2016,NA,2.3 x 10-2*L^1.631
Parapholas californica,siphon diameter,0.9 - 19,4.4,0.919,0.51,<.001,38,0.8697,1.34,Reed 2016,NA,4.4*L^0.919
Peltodoris nobilis,retracted length,24 - 74,2.0 x 10-3,2.267,0.60,<.001,24,0.6023,1.17,Reed 2016,NA,2.0 x 10-3*L^2.267
Pteropurpura trialata,shell length,15 - 40,8.2 x 10-4,2.366,0.94,<.001,10,0.199,1.02,Reed 2016,NA,8.2 x 10-4*L^2.366
Serpulorbis squamiger,percent cover,5 - 100,.,0.571,0.91,<.001,25,.,.,Reed 2016,NA,C*0.571
Tegula brunnea,shell length,10 - 35,4.0 x 10-3,2.365,0.72,<.001,39,0.4584,1.12,Reed 2016,NA,4.0 x 10-3*L^2.365
Balanus glandula,percent cover,5 - 100,.,0.685,0.8,<.001,30,.,.,Reed 2016,NA,C*0.685
Loxorhynchus grandis carapace,diameter,77 - 270,8.0 x 10-2,1.973,0.76,<.001,11,0.4751,1.12,Reed 2016,NA,8.0 x 10-2*L^1.973
