ScientificName,CommonName,Independent_variable,Range,a,b,LW_Equation,r2,p,N,RMSE,Smearing_estimate,Source
$Acarnus\text{ }sp.$,NA,percent cover,$5 - 90$,$.$,$0.803$,$C*0.803$,$0.94$,$<.001$,$10$,$.$,$.$,Reed 2016
$Cliona\text{ }celata$,NA,percent cover,$5 - 55$,$.$,$0.918$,$C*0.918$,$0.98$,$<.001$,$10$,$.$,$.$,Reed 2016
$Halichondria\text{ }panicea$,NA,percent cover,$5 - 100$,$.$,$2.335$,$C*2.335$,$0.96$,$<.001$,$10$,$.$,$.$,Reed 2016
$Leucilla\text{ }nuttingi$,NA,percent cover,$5 - 90$,$.$,$0.193$,$C*0.193$,$0.96$,$<.001$,$21$,$.$,$.$,Reed 2016
$Tethya\text{ }aurantia$,orange puffball sponge,diameter,$12-81$,$3.0 x 10-3$,$2.471$,$3.0 x 10-3*L^2.471$,$0.97$,$<.001$,$14$,$0.2068$,$1.02$,Reed 2016
$Abietinaria\text{ }sp.$,NA,percent cover,$5 - 100$,$.$,$0.049$,$C*0.049$,$0.98$,$<.001$,$30$,$.$,$.$,Reed 2016
$Aglaophenia\text{ }sp.$,NA,percent cover,$5 - 100$,$.$,$0.217$,$C*0.217$,$0.91$,$<.001$,$37$,$.$,$.$,Reed 2016
$Anthopleura\text{ }artemisia$,NA,disc diameter,$7 - 19$,$2.7 x 10-2$,$1.492$,$2.7 x 10-2*L^1.492$,$0.79$,$0.008$,$7$,$0.2348$,$1.03$,Reed 2016
$Astrangia\text{ }lajollaensis$,La Jolla cup coral,percent cover,$5 - 100$,$.$,$0.048$,$C*0.048$,$0.87$,$<.001$,$10$,$.$,$.$,Reed 2016
$Balanophyllia\text{ }elegans$,orange cup coral,disc diameter,$6 - 13$,$6.0 x 10-3$,$2.001$,$6.0 x 10-3*L^2.001$,$0.72$,$<.001$,$28$,$0.238$,$1.03$,Reed 2016
$Corynactis\text{ }californicus$,club-tipped anemone,percent cover,$5 - 100$,$.$,$0.284$,$C*0.284$,$0.8$,$<.001$,$24$,$.$,$.$,Reed 2016
$Epiactis\text{ }prolifera$,NA,percent cover,$5 - 75$,$.$,$0.349$,$C*0.349$,$0.99$,$<.001$,$15$,$.$,$.$,Reed 2016
$Hydractinia\text{ }milleri$,NA,percent cover,$5 - 100$,$.$,$0.030$,$C*0.030$,$0.93$,$<.001$,$19$,$.$,$.$,Reed 2016
$Lophogorgia\text{ }chilensis$,red gorgonian,colony width,$70 - 410$,$1.8 x 10-2$,$1.529$,$1.8 x 10-2*L^1.529$,$0.71$,$<.001$,$25$,$0.4641$,$1.12$,Reed 2016
$Muricea\text{ }californica$,California golden gorgonian,colony width,$8 - 327$,$2.0 x 10-3$,$2.001$,$2.0 x 10-3*L^2.001$,$0.68$,$0.003$,$10$,$0.4755$,$1.11$,Reed 2016
$Pachycerianthus\text{ }fimbriatus$,NA,disc diameter,$14 - 37$,$1.1 x 10-1$,$1.597$,$1.1 x 10-1*L^1.597$,$0.9$,$<.001$,$15$,$0.132$,$1.01$,Reed 2016
$Paracyathus\text{ }stearnsii$,NA,percent cover,$5 - 100$,$.$,$0.545$,$C*0.545$,$0.99$,$<.001$,$28$,$.$,$.$,Reed 2016
$Phyllactis\text{ }spp.$,NA,disc diameter,$6 - 15$,$6.0 x 10-3$,$1.799$,$6.0 x 10-3*L^1.799$,$0.46$,$<.001$,$25$,$0.4115$,$1.10$,Reed 2016
$Plumularia\text{ }sp.$,NA,percent cover,$5 - 100$,$.$,$0.012$,$C*0.012$,$0.95$,$<.001$,$14$,$.$,$.$,Reed 2016
$Urticina\text{ }lofotensis$,white-spotted rose anemone,disc diameter,$40 - 186$,$3.9 x 10-1$,$1.040$,$3.9 x 10-1*L^1.040$,$0.74$,$0.001$,$10$,$0.273$,$1.04$,Reed 2016
$Cirriformia\text{ }luxuriosa$,NA,percent cover,$5 - 90$,$.$,$0.195$,$C*0.195$,$0.99$,$<.001$,$15$,$.$,$.$,Reed 2016
$Dodecaceria\text{ }fewkesi$,NA,percent cover,$5 - 100$,$.$,$0.322$,$C*0.322$,$0.7$,$<.001$,$21$,$.$,$.$,Reed 2016
$Eudistylia\text{ }polymorpha$,NA,body diameter,$3-10$,$2.3 x 10-1$,$1.426$,$2.3 x 10-1*(L*2)^1.426$,$0.34$,$0.007$,$20$,$0.5313$,$1.15$,Reed 2016
$Phragmatopoma\text{ }californica$,colonial sand-tube worm,percent cover,$5 - 100$,$.$,$0.014$,$C*0.014$,$0.72$,$<.001$,$22$,$.$,$.$,Reed 2016
$Salmacina\text{ }tribranchiata$,NA,percent cover,$5 - 100$,$.$,$2.307$,$C*2.307$,$0.96$,$<.001$,$30$,$.$,$.$,Reed 2016
$Aplysia\text{ }californica$,California brown sea hare,retracted length,$70 - 280$,$1.9 x 10-1$,$1.575$,$1.9 x 10-1*L^1.575$,$0.51$,$<.001$,$30$,$0.5659$,$1.16$,Reed 2016
$Calliostoma\text{ }tricolor$,NA,shell length,$12-17$,$1.3 x 10-4$,$3.360$,$1.3 x 10-4*L^3.360$,$0.99$,$<.001$,$6$,$0.0459$,$1.00$,Reed 2016
$Chaceia\text{ }ovoidea$,NA,siphon diameter,$16 - 35$,$5.9$,$1.058$,$5.9*L^1.058$,$0.99$,$<.001$,$6$,$0.0256$,$1.00$,Reed 2016
$Conus\text{ }californicus$,NA,shell length,$8-27$,$7.5 x 10-4$,$2.578$,$7.5 x 10-4*L^2.578$,$0.97$,$<.001$,$80$,$0.1225$,$1.01$,Reed 2016
