CommonName,IslandName,r.squared,adj.r.squared,sigma,df,logLik,AIC,BIC,deviance,df.residual,nobs,term,estimate,std.error,statistic,p.value
brown gorgonian,Anacapa Island,0.1472394568833607,0.1437588016053336,132.5631588141642,NA,-1550.7744238747325,3105.548847749465,3112.5595108213297,4305382.813323383,245,246,Mean_Density,8777.029037987306,1349.4784024931803,6.504015938137003,4.360848637186717e-10
brown gorgonian,Santa Barbara Island,0.5787128152072317,0.5750173135862425,114.45205028087858,NA,-707.7936801714095,1419.587360342819,1425.0772245995456,1493316.9867386306,114,115,Mean_Density,96202.10178261506,7687.581078306553,12.513962558923255,3.8866826428419334e-23
brown gorgonian,Santa Cruz Island,0.585654698257332,0.5806017067726652,35.572350302825356,NA,-413.70906050760345,831.4181210152069,836.2558022308001,103762.15269748736,82,83,Mean_Density,128442.3410399607,11930.583371322664,10.765805580697362,2.3343268959695703e-17
brown gorgonian,Santa Rosa Island,0.6271886002741748,0.6230462513883324,7.695933348146007,NA,-314.3236157746543,632.6472315493086,637.6689505623423,5330.465108919523,90,91,Mean_Density,52609.54352617698,4275.518526747782,12.304833483248869,5.484834442309526e-21
California golden gorgonian,Anacapa Island,0.39143773349902566,0.3910433315116627,276.69024659792484,NA,-10872.096429052883,21748.192858105765,21758.877121566937,118128211.02381478,1543,1544,Mean_Density,1880.7951059700003,59.70073656319102,31.50371694290988,1.265444046916289e-168
California golden gorgonian,Santa Barbara Island,0.3780777012080264,0.377202986301146,271.40509656329687,NA,-4999.556002710495,10003.11200542099,10012.248161243813,52372776.49921862,711,712,Mean_Density,14270.037540211546,686.3851005915805,20.790133014123573,2.28696471168214e-75
California golden gorgonian,Santa Cruz Island,0.569427278223463,0.5679627451561959,196.7137717637535,NA,-1976.202190331161,3956.404380662322,3963.778331375002,11376714.552447498,294,295,Mean_Density,81930.86334406941,4155.0665892661,19.718303325324246,9.849468382218122e-56
California golden gorgonian,Santa Rosa Island,0.7139567977695684,0.710668944870368,84.56715053606551,NA,-514.8677674768752,1033.7355349537504,1038.6902085827069,622189.4566316922,87,88,Mean_Density,609527.5410748358,41363.14539055721,14.736005575001188,2.2747749319646223e-25
red gorgonian,Anacapa Island,0.17503162626154045,0.17450883261531835,161.03129856040286,NA,-10263.848207186136,20531.696414372273,20542.425508400785,40919242.84512628,1578,1579,Mean_Density,1368.6141055871935,74.7976404852053,18.297557205135373,5.610516757184157e-68
red gorgonian,Santa Barbara Island,0.39107737404882215,0.3905263128488663,110.19796293516906,NA,-6769.56571454133,13543.13142908266,13553.148439446824,13418668.093742287,1105,1106,Mean_Density,2030.97267958868,76.23820333337444,26.63982873137293,3.5808592314413155e-121
red gorgonian,Santa Cruz Island,0.548713796011384,0.5486125199332896,122.79440510670007,NA,-27764.158535332514,55532.31707066503,55545.12153301092,67189644.16406529,4456,4457,Mean_Density,1515.994082596327,20.595768603723986,73.60706520669568,0
red gorgonian,Santa Rosa Island,0.5895780832810803,0.5886345846219564,80.60084155517984,NA,-2531.9825897014325,5067.965179402865,5076.120463889563,2825975.611840394,435,436,Mean_Density,5016.138283161514,200.6640062519061,24.997698276114555,3.7508478505137155e-86
