Scientific_Name,ScientificName,CommonName,Data_Type,Classification,Targeted_Broad
IslandName,Island Name,Island Name,Categorical,Categorical,Categorical
SurveyYear,Survey Year,Survey Year,Categorical,Categorical,Categorical
island_kelpfish,island kelpfish,island kelpfish,Count,Fish,Non-targeted
Aplysia_californica,Aplysia californica,California brown sea hare,Count,Invertebrates,Non-targeted
articulated_coralline_algae,articulated coralline algae,articulated coralline algae,Percent Cover,Algae,Non-targeted
Astrangia_lajollaensis,Astrangia lajollaensis,La Jolla cup coral,Percent Cover,Invertebrates,Non-targeted
Balanophyllia_elegans,Balanophyllia elegans,orange cup coral,Percent Cover,Invertebrates,Non-targeted
Bryozoa,Bryozoa,bryozoans,Count,Invertebrates,Non-targeted
Centrostephanus_coronatus,Centrostephanus coronatus,Coronado urchin,Count,Invertebrates,Non-targeted
Chlorophyta,Chlorophyta,green algae,Percent Cover,Algae,Non-targeted
Corynactis_californicus,Corynactis californicus,club-tipped anemone,Percent Cover,Invertebrates,Non-targeted
blackeye_goby,blackeye goby,blackeye goby,Count,Fish,Non-targeted
Cryptochiton_stelleri,Cryptochiton stelleri,gumboot chiton,Count,Invertebrates,Non-targeted
Cypraea_spadicea,Cypraea spadicea,chestnut cowrie,Count,Invertebrates,Non-targeted
Cystoseira,Cystoseira,bladder chain kelp,Percent Cover,Algae,Non-targeted
Desmarestia,Desmarestia,acid weed,Percent Cover,Algae,Non-targeted
Diaperoecia_californica,Diaperoecia californica,Southern staghorn bryozoan,Percent Cover,Invertebrates,Non-targeted
Diopatra_ornata,Diopatra ornata,ornate tube worm,Percent Cover,Invertebrates,Non-targeted
Eisenia_arborea,Eisenia arborea,Southern sea palm,Count,Algae,Non-targeted
encrusting_coralline_algae,encrusting coralline algae,encrusting coralline algae,Percent Cover,Algae,Non-targeted
Gelidium,Gelidium,agar weed,Percent Cover,Algae,Non-targeted
Gigartina,Gigartina,sea tongue,Percent Cover,Algae,Non-targeted
Haliotis_assimilis,Haliotis assimilis,threaded abalone,Count,Invertebrates,Non-targeted
Haliotis_corrugata,Haliotis corrugata,pink abalone,Count,Invertebrates,Non-targeted
Haliotis_fulgens,Haliotis fulgens,green abalone,Count,Invertebrates,Non-targeted
Haliotis_sorenseni,Haliotis sorenseni,white abalone,Count,Invertebrates,Non-targeted
Laminaria_farlowii,Laminaria farlowii,oar weed,Count,Algae,Non-targeted
blue_banded_goby,blue banded goby,blue banded goby,Count,Fish,Non-targeted
Misc_Invert,Misc Invert,Misc Invert,Percent Cover,Misc Invert,Non-targeted
Ophiothrix_spiculata,Ophiothrix spiculata,spiny brittle star,Percent Cover,Invertebrates,Non-targeted
Pachythyone_rubra,Pachythyone rubra,aggregated red sea cucumber,Percent Cover,Invertebrates,Non-targeted
Panulirus_interruptus,Panulirus interruptus,California spiny lobster,Count,Invertebrates,Targeted
Parastichopus_parvimensis,Parastichopus parvimensis,warty sea cucumber,Count,Invertebrates,Targeted
Phaeophyta,Phaeophyta,brown algae,Percent Cover,Algae,Non-targeted
Phragmatopoma_californica,Phragmatopoma californica,colonial sand-tube worm,Percent Cover,Invertebrates,Non-targeted
Pisaster_ochraceus,Pisaster ochraceus,ochre sea star,Count,Invertebrates,Non-targeted
Plantae,Plantae,miscellaneous plants,Percent Cover,Algae,Non-targeted
Porifera,Porifera,sponges,Percent Cover,Invertebrates,Non-targeted
Pterygophora_californica,Pterygophora californica,California sea palm,Count,Algae,Non-targeted
Rhodophyta,Rhodophyta,red algae,Percent Cover,Algae,Non-targeted
Sargassum_horneri,Sargassum horneri,Sargassum horneri,Count,Algae,Non-targeted
Serpulorbis_squamigerus,Serpulorbis squamigerus,scaled wormsnail,Percent Cover,Invertebrates,Non-targeted
Styela_montereyensis,Styela montereyensis,stalked tunicate,Count,Invertebrates,Non-targeted
Stylaster_californicus,Stylaster californicus,California hydrocoral,Count,Invertebrates,Non-targeted
Tunicata,Tunicata,tunicates,Percent Cover,Invertebrates,Non-targeted
Urticina_lofotensis,Urticina lofotensis,white-spotted rose anemone,Count,Invertebrates,Non-targeted
Undaria_pinnatifida,Undaria pinnatifida,"wakame, adult",Count,Algae,Non-targeted
bat_ray,bat ray,bat ray,Count,Fish,Non-targeted
brown_rockfish,brown rockfish,brown rockfish,Count,Fish,Targeted
c_o_turbot,c o turbot,c o turbot,Count,Fish,Targeted
copper_rockfish,copper rockfish,copper rockfish,Count,Fish,Targeted
coralline_sculpin,coralline sculpin,coralline sculpin,Count,Fish,Non-targeted
crevice_kelpfish,crevice kelpfish,crevice kelpfish,Count,Fish,Non-targeted
fringehead_spp.,fringehead spp.,fringehead spp.,Count,Fish,Non-targeted
giant_kelpfish,giant kelpfish,giant kelpfish,Count,Fish,Non-targeted
gopher_rockfish,gopher rockfish,gopher rockfish,Count,Fish,Targeted
jack_mackerel,jack mackerel,jack mackerel,Count,Fish,Targeted
kelp_surfperch,kelp surfperch,kelp surfperch,Count,Fish,Non-targeted
kelpfish_spp.,kelpfish spp.,kelpfish spp.,Count,Fish,Non-targeted
larval_fish_spp.,larval fish spp.,larval fish spp.,Count,Fish,Non-targeted
sculpin_spp.,sculpin spp.,sculpin spp.,Count,Fish,Non-targeted
painted_greenling,painted greenling,painted greenling,Count,Fish,Non-targeted
rainbow_surfperch,rainbow surfperch,rainbow surfperch,Count,Fish,Targeted
Rockfish_YOY,Rockfish YOY,Rockfish YOY,Count,Fish,Targeted
surfperch_spp.,surfperch spp.,surfperch spp.,Count,Fish,Non-targeted
shiner_surfperch,shiner surfperch,shiner surfperch,Count,Fish,Non-targeted
soupfin_shark,soupfin shark,soupfin shark,Count,Fish,Targeted
speckled_sanddab,speckled sanddab,speckled sanddab,Count,Fish,Targeted
swell_shark,swell shark,swell shark,Count,Fish,Non-targeted
top_smelt,top smelt,top smelt,Count,Fish,Non-targeted
tubesnout,tubesnout,tubesnout,Count,Fish,Non-targeted
zebra_perch,zebra perch,zebra perch,Count,Fish,Non-targeted
black_rockfish,black rockfish,black rockfish,Count,Fish,Targeted
bocaccio,bocaccio,bocaccio,Count,Fish,Targeted
kelp_greenling,kelp greenling,kelp greenling,Count,Fish,Targeted
prickleback_spp.,prickleback spp.,prickleback spp.,Count,Fish,Non-targeted
spotted_kelpfish,spotted kelpfish,spotted kelpfish,Count,Fish,Non-targeted
yellowtail,yellowtail,yellowtail,Count,Fish,Targeted
barred_sand_bass,barred sand bass,barred sand bass,Count,Fish,Targeted
California_moray_eel,California moray eel,California moray eel,Count,Fish,Non-targeted
grass_rockfish,grass rockfish,grass rockfish,Count,Fish,Targeted
horn_shark,horn shark,horn shark,Count,Fish,Non-targeted
onespot_fringehead,onespot fringehead,onespot fringehead,Count,Fish,Non-targeted
Pacific_barracuda,Pacific barracuda,Pacific barracuda,Count,Fish,Targeted
sargo,sargo,sargo,Count,Fish,Targeted
thornback_ray,thornback ray,thornback ray,Count,Fish,Non-targeted
yellowfin_fringehead,yellowfin fringehead,yellowfin fringehead,Count,Fish,Non-targeted
zebra_goby,zebra goby,zebra goby,Count,Fish,Non-targeted
baitfish_spp.,baitfish spp.,baitfish spp.,Count,Fish,Targeted
Pacific_mackerel,Pacific mackerel,Pacific mackerel,Count,Fish,Targeted
halfbanded_rockfish,halfbanded rockfish,halfbanded rockfish,Count,Fish,Targeted
