IslandCode,IslandName,SiteCode,SiteName,SurveyYear,ReserveStatus,island_kelpfish,Aplysia_californica,articulated_coralline_algae,Astrangia_lajollaensis,Balanophyllia_elegans,Bryozoa,Centrostephanus_coronatus,Chlorophyta,Corynactis_californicus,blackeye_goby,Cryptochiton_stelleri,Cypraea_spadicea,Cystoseira,Desmarestia,Diaperoecia_californica,Diopatra_ornata,Eisenia_arborea,encrusting_coralline_algae,Gelidium,Gigartina,Haliotis_assimilis,Haliotis_corrugata,Haliotis_fulgens,Haliotis_sorenseni,Laminaria_farlowii,blue_banded_goby,Miscellaneous_Invertebrates_excluding_Ophiothrix_spiculata,Ophiothrix_spiculata,Pachythyone_rubra,Panulirus_interruptus,Parastichopus_parvimensis,Phaeophyta,Phragmatopoma_californica,Pisaster_ochraceus,Plantae,Porifera,Pterygophora_californica,Rhodophyta,Sargassum_horneri,Serpulorbis_squamigerus,Styela_montereyensis,Stylaster_californicus,Tunicata,Urticina_lofotensis,Undaria_pinnatifida,bat_ray,brown_rockfish,c_o_turbot,copper_rockfish,coralline_sculpin,crevice_kelpfish,fringehead_spp.,giant_kelpfish,gopher_rockfish,jack_mackerel,kelp_surfperch,kelpfish_spp.,larval_fish_spp.,painted_greenling,rainbow_surfperch,Rockfish_YOY,sculpin_spp.,shiner_surfperch,soupfin_shark,speckled_sanddab,surfperch_spp.,swell_shark,top_smelt,tubesnout,zebra_perch,black_rockfish,bocaccio,kelp_greenling,prickleback_spp.,spotted_kelpfish,yellowtail,barred_sand_bass,California_moray_eel,grass_rockfish,horn_shark,onespot_fringehead,Pacific_barracuda,sargo,thornback_ray,yellowfin_fringehead,zebra_goby,baitfish_spp.,Pacific_mackerel,halfbanded_rockfish,white_seabass,plain_cardinalfish,giant_black_sea_bass,leopard_shark,Pacific_angel_shark,ronquil_spp.,California_halibut,stripedfin_ronquil,swallowtail_damselfish,clingfish_spp.,vermillion_rockfish,wolf_eel,broadnose_sevengill_shark,sanddab_spp.,Pacific_bonito,plainfin_midshipman,sarcastic_fringehead,walleye_surfperch,ocean_sunfish,Date,Crassedoma_giganteum,Haliotis_rufescens,Kelletia_kelletii,Lithopoma_gibberosa,Lophogorgia_chilensis,Lytechinus_anamesus,Macrocystis_pyrifera,Megastraea_undosa,Megathura_crenulata,Muricea_californica,Muricea_fruticosa,Patiria_miniata,Pisaster_giganteus,Pycnopodia_helianthoides,Strongylocentrotus_franciscanus,Strongylocentrotus_purpuratus,Tegula_regina,Tethya_aurantia,black_and_yellow_rockfish,black_surfperch,blacksmith,blue_rockfish,cabezon,California_scorpionfish,California_sheephead_female,California_sheephead_male,garibaldi,halfmoon,kelp_bass,kelp_rockfish,lingcod,ocean_whitefish,olive_rockfish,opaleye,pile_perch,rock_wrasse_female,rock_wrasse_male,rubberlip_surfperch,senorita,striped_surfperch,treefish
AN,Anacapa,AR,Admiral's Reef,2005,Outside,917.0583,13.806899999999999,0.5,0.6667,0,1,1250.625,3.8333,1.5,6503.25,0,83.44170000000001,1.6667,0.3333,0.3333,0,333.56669999999997,42.5,0,0.1667,0,0,0,0,0,0,24.5,30.1667,0,11.205599999999999,917.0583,0.8333,0,0,6.6667,0.3333,0,34.6667,0,0,0,0,0.5,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,63.6,0,0.43478260869565216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005-01-01,4.240587623168528,0,0.5952897190858069,0,12.974921691007127,0.022923851133276656,38.148,0.6493160976647995,0.848490715945065,10.244435025501154,0.21310295339530125,16.94140998861586,3.080751864692633,0,171.1436148850116,55.35328859248647,0,0.5254884387604276,637.9734204113405,679.8341513489058,0,0,779.4120384359703,205.99845236290787,1080.9776162624262,0,2172.0435027207245,5847.1797730780745,1452.7240258062172,23.53392082251556,0,0,0,8010.954919961236,0,64.12823640702729,97.43812126238586,0,1229.3257294919288,0,1753.3518050164514
AN,Anacapa,AR,Admiral's Reef,2006,Outside,250.125,5.602799999999999,0,0,0,5.6667,917.0583,2.8333,5,2834.8167000000003,0,0,0.3333,0,0.8333,0,0,46.8333,0,0.1667,0,0,0,0,0,0,11.8333,40.6667,0,2.8013999999999997,833.8167,0.5,0,0,35.3333,0.3333,0,29.3333,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,39.4,0,0.2,0,0,0,0,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006-01-01,9.011262495579523,0,6.70595950945067,0,15.96065403966062,0,0,1.0538712616185328,5.341410400571651,6.8866205706415755,0.7090805361231315,16.25829297603854,4.692227738855012,0,577.947824351906,71.32060195206495,1.8435693519626646,1.1277167067170824,1275.946840822681,967.4562923042122,13116.445743319271,0,0,669.4949701794505,2123.3488890869085,0,2732.5708582615566,8687.238520001712,2033.813636128704,94.13568329006225,2519.3325785034854,0,0,10392.590166436197,824.4779500715911,117.56843341288337,272.82673953468037,0,1426.8959360174172,0,1701.7826342806734
AN,Anacapa,AR,Admiral's Reef,2007,Outside,500.25,19.4097,0.3333,1,0,2,1000.5,0.5,1.3333,5586.1917,0,83.44170000000001,0,0,0.8333,0,0,54.3333,0,0,0,0,0,0,0,0,19,45.5,0,0,1083.9416999999999,0,0,0,3.6667,0.5,0,13.1667,0,0,0,0,0.8333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.333333333333336,0,4.133333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-01-01,6.1313542580139675,0,7.557949341508787,0,13.79131652881501,0,0.4238666666666667,0.9803302779721109,5.080328016915509,8.00704240961151,0.49777788490166974,19.341516456562836,1.3612440819432248,0,248.57960421519115,89.14811456849449,1.9702184680412511,8.312395039780258,661.6020656117606,940.0637074513259,21683.598824675108,74.4749847570894,0,218.97676106174006,5580.761423640542,0,2335.5306480868007,2088.278490385027,847.4223483869602,343.2030119950186,0,0,0,6856.2226792461015,752.4997163351824,180.36066489476423,259.83499003302893,1098.6069237065708,896.5208898169968,0,6900.446179406483
AN,Anacapa,AR,Admiral's Reef,2008,Outside,250.125,25.0125,0.5,0.5,0,4.6667,1500.75,0.3333,2.8333,3501.75,0,83.44170000000001,0,0,0,0,0,51.8333,0,0,0,0,0,0,0,0,21.8333,47,0,2.8013999999999997,583.6917,0,0,0,3.6667,1.5,0,9.5,0,0,0,0,2.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.333333333333332,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008-01-01,2.8882502157437124,0,0.35043465596048584,0,1.435427705474299,0.03295020306781233,0,1.0898961864298378,7.96469766905302,0.5237949930961264,0.0338076136194508,18.9671531028222,3.3125657668225306,0,549.3339372185505,62.774590351427136,0.42914001887103964,3.713428849819984,115.3322232548549,819.3386190139213,49607.568260800996,20.978868945658984,0,810.8971098464779,1885.158602359697,0,2687.795435766824,0,2167.5699114157233,523.0100255793096,0,0,0,1262.9883882821769,65.43475794218976,271.85543488328335,32.479373754128616,823.9551927799282,62.72070048428208,0,1459.2138243416023
AN,Anacapa,AR,Admiral's Reef,2009,Outside,166.6833,55.62779999999999,0,0.5,0,0.6667,1834.3166999999999,0.5,0.5,5752.875,0,166.6833,0,0,0.8333,0,0,62.1667,0,0,0,0,0,0,0,0,18,44.6667,0,8.404200000000001,583.6917,0,0,0,7.5,1,0,8.5,0,0.1667,0,0,1,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,49,0,3.230769230769231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6666666666666665,2625,550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009-01-01,0.19230263246192775,0,1.5151119995058304,0,14.508016541120407,0.0022390212926621487,0,0,2.823834568127677,0.5877834506698489,0.20530363321709855,28.779031064329594,7.146690175988737,0,370.1014783626017,55.518334531806055,0.09734516776263313,13.558523195237607,353.1489719951243,1987.6871299016234,9542.354530584113,57.98025306190256,0,0,1125.4523296641892,0,2183.8003456093284,431.0515393118769,3486.591211768877,214.19743914552276,0,1201.9014930100248,7.221930926444923,0,0,265.323501657076,472.73204133437923,823.9551927799282,162.75581805291063,0,2725.060551562552
AN,Anacapa,AR,Admiral's Reef,2010,Outside,83.44170000000001,38.8194,0.5,0.5,0,1,1500.75,0,2.6667,2251.125,0,0,0,0,0.1667,0,0,73,0,0,0,0,0,0,41.6208,0,22.5,43.6667,0,8.404200000000001,1417.3083000000001,0,0,0,8.1667,1.1667,0,9.1667,0,0,0,0,0.6667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,47.470588235294116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010-01-01,3.9783055902776936,0,3.509654815790616,0,20.777456903931157,9.449737530736401e-6,0,6.202442552643299,10.766741970724718,20.23112443742647,1.3724540980924833,31.12117846174216,4.207768686230764,0,300.9910363809085,58.451348444077176,0.48652848525969816,5.298081631647027,462.4597171207937,1378.592015841587,33140.342443646026,1957.0761363282813,0,0,6962.3629695345335,0,2544.692180985833,0,2260.3768517682715,584.4609939829,0,2803.9045038927243,134.00355296782794,0,0,131.90297590996985,192.54324788284742,823.9551927799282,2573.4839043899296,0,4507.678425198843
AN,Anacapa,AR,Admiral's Reef,2011,Outside,0,16.6083,0.3333,1.5,0,0.3333,1083.9416999999999,0,7,666.9333,0,166.6833,0,0,0,0,0,60.8333,0,0,0,0,0,0,0,0,21.8333,49.8333,0,0,1000.5,0,0,0,14.3333,0.6667,0,8,0,0,0,0,0.8333,0,0,0,0,0,0,0,0,0,0,1,200,0,0,0,33.2,0,6.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011-01-01,1.0565560001111878,0,0.11625581363624067,0,15.034441173216308,2.1261909444156903e-5,0,1.0002186555927175,40.19763067083151,13.704789903884615,0.7190561243470711,16.610025319866143,6.718939164273014,0,328.89858233260026,63.871542847552824,0.9380371999225569,6.216957161667413,654.1877014343448,1733.8591461877018,28381.73377321939,7047.959756721537,0,0,2512.9978025053374,0,3053.6306171829997,0,1258.0466211756575,2567.974316441645,0,0,0,0,320.57204742014767,675.0169352362246,175.38861827229456,0,542.53405918904,0,4244.034360894921
AN,Anacapa,AR,Admiral's Reef,2012,Outside,0,0,0.5,0.3333,0,0,1834.3166999999999,0,4.5,4752.375,0,500.25,0,0,0,0,0,60.1667,0,0,0,0,0,0,0,0,11.3333,72,0,0,583.6917,0.1667,0,0,1.5,0.5,0,3.8333,0,0.3333,0,0,0.3333,27.813899999999997,0,0,0,0,0,0,0,0,0,6,0,0,0,0,24.25,0,29.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012-01-01,4.5531405971639165,0,3.2389917042537943,0,0.06438635457374803,0,0,0.6993385101407323,41.43093607771263,0.5237949930961264,0.07606713064376429,20.204710562463163,5.726955545722862,0,307.0663643807284,36.94571985027202,5.8796495186409,2.648850602372039,664.1031112342848,74.13872680574802,14107.817805873592,2794.602183794845,300.65730756237235,556.5324843973541,7532.203295073387,0,6852.008990633258,0,3192.3446917351725,1319.2346228276915,0,1567.3826798295302,208.9148091204949,0,254.28465137106974,488.81928701055756,505.7717330600649,0,0,0,2721.17281397483
AN,Anacapa,AR,Admiral's Reef,2013,Outside,0,13.806899999999999,0.1667,0,0,1.5,917.0583,0.6667,3.3333,5586.1917,0,83.44170000000001,0,0,0,0,0,80.8333,0,0,0,0,0,0,0,0,7.1667,71.3333,0,0,750.375,0,0,0,2.1667,0.3333,0,4.3333,5.0025,0,0,0,0.1667,0,0,0,0,0,1,0,0,0,0,2.8,0,0,0,0,42.4,0,139.5,1,0,0,0,0,2,0,0,0,0,0,0,0,0,23,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-01-01,6.872025679225552,0,2.079063005086168,0,7.3393659511305325,0,0,1.5655302899430563,19.687682135965954,7.082059281796655,0.36079733988705037,15.387994832561468,2.799846296562171,0,194.41150892692988,2.485629996277585,0.9166411711315781,6.33884849397304,922.9018105123947,598.0450429649036,22213.015382966154,14788.30424316706,639.1432714064695,0,2351.986208648183,0,6852.008990633258,0,825.0056812314987,1739.893453364437,2646.1731615855106,1119.975825133264,670.0158393447383,0,1286.5813332152668,192.54324788284742,216.93119493874482,0,1454.8977900332277,0,2994.5652208896454
AN,Anacapa,AR,Admiral's Reef,2014,Outside,0,16.6083,0.1667,0.1667,0,1.5,583.6917,2.1667,1.6667,3918.5582999999997,0,0,0,0,0,0,250.125,69.6667,0,0,0,0,0,0,0,0,5.6667,69.8333,0,8.404200000000001,583.6917,1.5,0,0,3.6667,0.5,0,10.1667,12076.035,0,0,0,0,8.404200000000001,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,17.25,0,4.588235294117647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-01-01,5.141497607133687,0,0.4128446728418616,0,0.8917944642794575,2.3624343826841003e-6,0,0.16508239169236555,3.0966093078279373,0.22015076474768788,0.0084519034048627,14.808298175661479,0.4940474929830681,0,142.34133523872393,4.99958685498006,6.261256539155099,3.472377903591085,795.3893146537646,72.40700644763787,210255.7150720402,40553.44896134425,0,0,2972.1880421463698,0,2544.692180985833,0,1954.9144699935882,457.13857344012285,699.2256692635607,0,380.66012785358714,0,254.28465137106974,170.09946246016503,0,0,1.147775119879559,0,1339.0274848534755
