IslandCode,IslandName,SiteCode,SiteName,SurveyYear,ReserveStatus,Reference,Alloclinus_holderi,Centrostephanus_coronatus,Coryphopterus_nicholsi,Cypraea_spadicea,Eisenia_arborea,Laminaria_farlowii,Lithopoma_gibberosa,Lythrypnus_dalli,Megastraea_undosa,Parastichopus_parvimensis,Patiria_miniata,Pterygophora_californica,Strongylocentrotus_franciscanus,Strongylocentrotus_purpuratus,Styela_montereyensis,Tegula_regina,Macrocystis_pyrifera,Pisaster_giganteus,Sargassum_horneri,Pisaster_ochraceus,Aplysia_californica,Crassedoma_giganteum,Haliotis_corrugata,Haliotis_fulgens,Haliotis_rufescens,Kelletia_kelletii,Lophogorgia_chilensis,Lytechinus_anamesus,Megathura_crenulata,Muricea_californica,Muricea_fruticosa,Panulirus_interruptus,Pycnopodia_helianthoides,Stylaster_californicus,Tethya_aurantia,Urticina_lofotensis,Haliotis_assimilis,Cryptochiton_stelleri,Haliotis_sorenseni,Undaria_pinnatifida,Mean_ONI_ANOM
SR,Santa Rosa Island,JLNO,Johnson's Lee North,2005,Outside,TRUE,0,0,0,0.25,0,0.0208,0,0,0,0.1667,0.375,0.1458,0.625,0,5.875,0,0.3875,0.145,0,0,0,0.0063,0,0,0.0063,0.0021,0,0,7e-4,0,0,0,0.0653,0,0.0806,0.0118,0,0,0,0,0.04166666666666667
SR,Santa Rosa Island,JLNO,Johnson's Lee North,2006,Outside,TRUE,0,0,0.125,0.7917,0,0.0625,0,0,0,0.0833,0.375,0.25,1.8333,0.6667,3.5833,0,0.27,0.12,0,0,0,0.0146,0,0,0.0063,7e-4,0,0,0.0035,0,0,0,0.0569,0,0.0736,0.0222,0,0,0,0,0.11416666666666668
SR,Santa Rosa Island,JLNO,Johnson's Lee North,2007,Outside,TRUE,0,0,0.1667,0.5,0,0.1667,0,0,0,0.25,0.7917,0.1458,0.9583,0.0833,6.2917,0,0.505,0.125,0,0,0,0.0083,0,0,0.0076,7e-4,7e-4,0,0.0021,0,0,0,0.041,0,0.0639,0.0063,0,0,0,0,-0.5908333333333333
SR,Santa Rosa Island,JLNO,Johnson's Lee North,2008,Outside,TRUE,0,0,0.0833,0.0833,0,0.3125,0,0,0,0,1.0417,0.8542,0.125,0.0417,6.1667,0,0.425,0.15,0,0,0,0.0063,0,0,0.0076,0.0021,0,0,0.0021,0,0,0,0.0694,0,0.0743,0.0063,0,0,0,0,-0.7583333333333333
SR,Santa Rosa Island,JLNO,Johnson's Lee North,2009,Outside,TRUE,0,0,0.0833,0.0833,0,0.4583,0,0,0.0417,0,1.7083,0.3333,0.25,0.3333,3,0,0.395,0.15,0,0,0.0021,0.0056,0,0,0.0146,0.0021,7e-4,0,0.0042,0,0,0,0.0347,0,0.0507,0.0069,0,0,0,0,0.3125
SR,Santa Rosa Island,JLNO,Johnson's Lee North,2010,Outside,TRUE,0.0417,0,0.0417,0.2917,0.0208,0.375,0,0,0,0.0417,2.2083,0.2083,2.4583,1.1667,5.125,0,0.2575,0.135,0,0,0,0.0139,0,0,0.0097,7e-4,0,0,0.0063,0,0,0,0.0542,0,0.0819,0.0132,0,0,0,0,-0.4616666666666666
SR,Santa Rosa Island,JLNO,Johnson's Lee North,2011,Outside,TRUE,0,0,0.0417,0.2083,0.125,1.2708,0,0,0,0.0833,1.375,0.3542,0.5833,0.25,3.125,0,0.4175,0.17,0,0,0,0.0063,0,0,0.0125,0,0,0,0.009,0,0,0,0.0396,0,0.0674,0.0097,0,0,0,0,-0.8391666666666666
SR,Santa Rosa Island,JLNO,Johnson's Lee North,2012,Outside,TRUE,0,0,0.5833,0.3333,0,0.5625,0,0,0,0,2.9583,0.3958,0.3333,0.3333,3.0417,0,0.465,0.145,0,0,0.0028,0.0083,0,0,0.009,7e-4,0,0,0.0049,0,0,0,0.0347,0,0.0576,0.0118,0,0,0,0,-0.11416666666666667
SR,Santa Rosa Island,JLNO,Johnson's Lee North,2013,Outside,TRUE,0,0,0.375,0.3333,0,0.5833,0,0,0,0,1.9583,0.6042,0.25,0.125,1.2917,0,0.2775,0.095,0,0,0,0.0125,0,0,0.0167,0,0,0,0.0097,0,0,0,0.091,0,0.0806,0.0271,0,0,0,0,-0.29333333333333333
SR,Santa Rosa Island,JLNO,Johnson's Lee North,2014,Outside,TRUE,0,0,0.0417,0.375,0,1.375,0,0,0.0417,0.0417,1.375,0.5625,1.8333,24.9583,1.25,0,0.455,0,0,0,0.0035,0.0549,0,0,0.0083,0,0,7e-4,0.0132,0,0,0,0,0,0.0778,0.0208,0,0,0,0,0.13999999999999999
SR,Santa Rosa Island,JLNO,Johnson's Lee North,2015,Outside,TRUE,0,0.2917,0.5,0.8333,0,0.2292,0,0,0,0,0.0417,0.1458,4.375,64.7083,0.3333,0,0.1775,7e-4,0,0,0.0257,0.0424,0,0,0.034,0.0021,0,0.0472,0.0104,0,0,0,0,0,0.0632,0.0215,0,0,0,0,1.485
SR,Santa Rosa Island,JLNO,Johnson's Lee North,2016,Outside,TRUE,0,0,0.25,0.2083,0,0,0,0,0.7917,0,0.125,0,2.7083,49.375,0,0,0,0.0042,0,0,0.0049,0.1701,0,0,0.009,0.0014,0,0.0118,0.0271,0,0,0.0014,0,0,0.0521,0.0139,0,0,0,0,0.35666666666666663
