SiteNumber,IslandCode,SiteCode,IslandName,SiteName,SurveyYear,ScientificName,CommonName,Mean_Biomass,Mean_Count,Targeted,Trophic_Full,ReserveStatus,Reference,MeanDepth,Date
3,SR,JLNO,Santa Rosa,Johnson's Lee North,2005,Caulolatilus princeps,ocean whitefish,0,0,Targeted,Benthic micro-invertivore,Outside,TRUE,33.18,2005-01-01
3,SR,JLNO,Santa Rosa,Johnson's Lee North,2006,Caulolatilus princeps,ocean whitefish,0,0,Targeted,Benthic micro-invertivore,Outside,TRUE,33.18,2006-01-01
3,SR,JLNO,Santa Rosa,Johnson's Lee North,2007,Caulolatilus princeps,ocean whitefish,0,0,Targeted,Benthic micro-invertivore,Outside,TRUE,33.18,2007-01-01
3,SR,JLNO,Santa Rosa,Johnson's Lee North,2008,Caulolatilus princeps,ocean whitefish,0,0,Targeted,Benthic micro-invertivore,Outside,TRUE,33.18,2008-01-01
3,SR,JLNO,Santa Rosa,Johnson's Lee North,2009,Caulolatilus princeps,ocean whitefish,0,0,Targeted,Benthic micro-invertivore,Outside,TRUE,33.18,2009-01-01
3,SR,JLNO,Santa Rosa,Johnson's Lee North,2010,Caulolatilus princeps,ocean whitefish,0,0,Targeted,Benthic micro-invertivore,Outside,TRUE,33.18,2010-01-01
3,SR,JLNO,Santa Rosa,Johnson's Lee North,2011,Caulolatilus princeps,ocean whitefish,0,0,Targeted,Benthic micro-invertivore,Outside,TRUE,33.18,2011-01-01
3,SR,JLNO,Santa Rosa,Johnson's Lee North,2012,Caulolatilus princeps,ocean whitefish,0,0,Targeted,Benthic micro-invertivore,Outside,TRUE,33.18,2012-01-01
3,SR,JLNO,Santa Rosa,Johnson's Lee North,2013,Caulolatilus princeps,ocean whitefish,0,0,Targeted,Benthic micro-invertivore,Outside,TRUE,33.18,2013-01-01
3,SR,JLNO,Santa Rosa,Johnson's Lee North,2014,Caulolatilus princeps,ocean whitefish,0,0,Targeted,Benthic micro-invertivore,Outside,TRUE,33.18,2014-01-01
3,SR,JLNO,Santa Rosa,Johnson's Lee North,2015,Caulolatilus princeps,ocean whitefish,0,0,Targeted,Benthic micro-invertivore,Outside,TRUE,33.18,2015-01-01
3,SR,JLNO,Santa Rosa,Johnson's Lee North,2016,Caulolatilus princeps,ocean whitefish,4751.98754694674,31.25,Targeted,Benthic micro-invertivore,Outside,TRUE,33.18,2016-01-01
3,SR,JLNO,Santa Rosa,Johnson's Lee North,2017,Caulolatilus princeps,ocean whitefish,6964.002860241964,18.75,Targeted,Benthic micro-invertivore,Outside,TRUE,33.18,2017-01-01
3,SR,JLNO,Santa Rosa,Johnson's Lee North,2018,Caulolatilus princeps,ocean whitefish,19798.592020761025,21.75,Targeted,Benthic micro-invertivore,Outside,TRUE,33.18,2018-01-01
3,SR,JLNO,Santa Rosa,Johnson's Lee North,2019,Caulolatilus princeps,ocean whitefish,629.6549121830526,8.666666666666666,Targeted,Benthic micro-invertivore,Outside,TRUE,33.18,2019-01-01
3,SR,JLNO,Santa Rosa,Johnson's Lee North,2005,Chromis punctipinnis,blacksmith,1949.6649084571766,27.333333333333332,Non-targeted,Zooplanktivore,Outside,TRUE,33.18,2005-01-01
3,SR,JLNO,Santa Rosa,Johnson's Lee North,2006,Chromis punctipinnis,blacksmith,3257.366981202844,45.666666666666664,Non-targeted,Zooplanktivore,Outside,TRUE,33.18,2006-01-01
3,SR,JLNO,Santa Rosa,Johnson's Lee North,2007,Chromis punctipinnis,blacksmith,388.79885580275754,36.333333333333336,Non-targeted,Zooplanktivore,Outside,TRUE,33.18,2007-01-01
3,SR,JLNO,Santa Rosa,Johnson's Lee North,2008,Chromis punctipinnis,blacksmith,1807.3474885291337,31.25,Non-targeted,Zooplanktivore,Outside,TRUE,33.18,2008-01-01
