IslandCode,IslandName,SiteCode,SiteName,SurveyYear,ReserveStatus,Artedius corallinus,Atherinops affinis,Caulolatilus princeps,Cephaloscyllium ventriosum,Chromis punctipinnis,Embiotoca jacksoni,Embiotoca lateralis,Gibbonsia,Girella nigricans,Gymnothorax mordax,Halichoeres semicinctus,Heterodontus francisci,Heterostichus rostratus,Hypsypops rubicundus,Lythrypnus zebra,Medialuna californiensis,Myliobatis californica,Ophiodon elongatus,Orthonopias triacis,Oxyjulis californica,Oxylebius pictus,Paralabrax clathratus,Phanerodon furcatus,Rhacochilus toxotes,Rhacochilus vacca,Sardinops sagax,Scomber japonicus,Scorpaena guttata,Scorpaenichthys marmoratus,Sebastes atrovirens,Sebastes atrovirens/carnatus/caurinus/chrysomelas,Sebastes carnatus,Sebastes caurinus,Sebastes chrysomelas,Sebastes miniatus,Sebastes mystinus,Sebastes semicinctus,Sebastes serranoides,Sebastes serranoides/flavidus,Sebastes serriceps,Semicossyphus pulcher,Seriola lalandi,Trachurus symmetricus,Brachyistius frenatus,Mola mola,Sebastes auriculatus ,Sebastes chrysomelas/carnatus,Sebastes dallii,Sebastes saxicola,Sphyraena argentea,Stereolepis gigas,Artedius harringtoni,Atractoscion nobilis,Aulorhynchus flavidus,Citharichthys stigmaeus,Cymatogaster aggregata,Embiotocidae,Hypsurus caryi,larval fish spp.,Leiocottus hirundo,Phanerodon spp.,Pleuronichthys coenosus,Sebastes diploproa,Sebastes paucispinis,Apogon atricaudus,Gibbonsia elegans,Sebastes rastrelliger,Azurina hirundo,"baitfish, unidentified",Cottidae,Paralichthys californicus,Rathbunella hypoplecta,Neoclinus,Neoclinus stephensae,Squatina californica,Bathymasteridae,Triakis semifasciata,Hyperprosopon argenteum,Phanerodon atripes,Sebastes melanops,Anisotremus davidsonii,Neoclinus blanchardi,Paralabrax nebulifer,Porichthys notatus,Sarda chiliensis,Neoclinus uninotatus,Hermosilla azurea,Platyrhinoidis triseriata,Anarrhichthys ocellatus,Gobiesox,Hexagrammos decagrammus,Sebastes pinniger,Galeorhinus galeus,Gibbonsia montereyensis,Notorynchus cepedianus,Sebastes rosaceus,Stichaeidae,Citharichthys
AN,Anacapa Island,AR,Admiral's Reef,2005,Outside,1,0,0,0,215.88888888888889,2.6,0,1,7.4,1,1.1,0,0,3.1,0,7,1,0,0,39.2,63.6,2,0,0,0,0,0,1,1,0.2,2,1,0,2.25,0,0,0,0,0,3.4,1.8666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AN,Anacapa Island,AR,Admiral's Reef,2006,Outside,0,0,0,0,348.8,3.7,0,1,9.6,0,2.5,0,0,3.9,0,10.4,0,1,0,45.5,39.4,2.8,5.5,0,2.1,0,0,3.25,0,0.8,0,1,1,4.5,0,0,0,0,0,3.3,3.6666666666666665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AN,Anacapa Island,AR,Admiral's Reef,2007,Outside,0,0,0,0,141.5,4.166666666666667,0,0,6.333333333333333,0,1.6666666666666667,0,0,3.3333333333333335,3,2.5,0,0,0,33.5,32.333333333333336,1.1666666666666667,0,1.3333333333333333,1.6666666666666667,0,0,0,0,4.833333333333333,7,0,0,1,0,1.8333333333333333,0,0,0,5.333333333333333,4.555555555555555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AN,Anacapa Island,AR,Admiral's Reef,2008,Outside,0,0,0,0,402.1666666666667,1.8333333333333333,0,0,1.1666666666666667,1,1.6666666666666667,0,0,2.8333333333333335,5,0,0,0,0,2,17.333333333333332,1.5,0,1,0.16666666666666666,0,0,1,0,3.3333333333333335,0,0,0,1,0,0.6666666666666666,0,0,0,2.3333333333333335,3.6666666666666665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AN,Anacapa Island,AR,Admiral's Reef,2009,Outside,0,0,1,0,606.1666666666666,3,0,0,8,0,1.6666666666666667,0,0,2.1666666666666665,3.6666666666666665,1.3333333333333333,0,0,0,30.5,49,1.1666666666666667,0,1,0,2625,550,0,0,2.1666666666666665,1,0,0,3,0,6.333333333333333,0,0.6666666666666666,0,4.833333333333333,5.555555555555555,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AN,Anacapa Island,AR,Admiral's Reef,2010,Outside,0,0,1,0,616.8333333333334,1.5,0,0,8.333333333333334,1,1.6666666666666667,0,0,2.6666666666666665,0,0,0,0,0,35,32,1,0,1,0,0,0,0,0,1.5,1,0,0,2,0,132.66666666666666,0,0.6666666666666666,1.6666666666666667,5.166666666666667,6.555555555555555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AN,Anacapa Island,AR,Admiral's Reef,2011,Outside,0,0,0,0,335.2,6.1,0,0,2,0,1.9333333333333333,0,0,3.4,1.5,0,0,0,0,17.3,33.2,0.9,0,0,0.3,0,0,0,0,3.8,2.75,1,1,4,0,37.4,0,0,0,5,4.266666666666667,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AN,Anacapa Island,AR,Admiral's Reef,2012,Outside,0,0,1,0,475.625,2,0,0,34.75,1.5,1.3333333333333333,0,0,5.25,1,0,0,0,0,0,24.25,2.125,0,0,0.25,0,0,1,1,1.5,0,6,0,2.5,0,75.5,0,1.5,0.25,3.5,4.416666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AN,Anacapa Island,AR,Admiral's Reef,2013,Outside,0,0,0,2,247.6,3.3,0,0,13,1.5,0.6666666666666666,0,0,5,0,0,0,1,1,13.4,42.4,0.6,0,0,0.4,0,0,0,1,1.4,1.75,2.8,1,4,1,361.4,1,0.4,16.2,4.6,2.4,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AN,Anacapa Island,AR,Admiral's Reef,2014,Outside,0,0,0,0,881.25,0.25,0,0,4,1,0.25,0,0,3.25,1,0,0,0,0,0.375,17.25,0.875,0,0,0.25,0,0,0,0,1.75,1,2.5,0,2.25,0,12.375,0,8.75,0,1.5,1.9166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
