IslandCode,IslandName,SiteCode,SiteName,ScientificName,CommonName,SurveyYear,ReserveStatus,Reference,Mean_Biomass,Mean_Density,Date,SiteNumber,ReserveYear
AN,Anacapa,AR,Admiral's Reef,Crassedoma giganteum,rock scallop,1983,Outside,TRUE,69.1348064145052,0.4275,1983-01-01,11,Outside
AN,Anacapa,AR,Admiral's Reef,Crassedoma giganteum,rock scallop,1984,Outside,TRUE,219.93999407370976,0.7625,1984-01-01,11,Outside
AN,Anacapa,AR,Admiral's Reef,Crassedoma giganteum,rock scallop,1985,Outside,TRUE,14.867972221352003,0.1486,1985-01-01,11,Outside
AN,Anacapa,AR,Admiral's Reef,Crassedoma giganteum,rock scallop,1986,Outside,TRUE,14.022432212638018,0.1444,1986-01-01,11,Outside
AN,Anacapa,AR,Admiral's Reef,Crassedoma giganteum,rock scallop,1987,Outside,TRUE,11.516655173883679,0.1181,1987-01-01,11,Outside
AN,Anacapa,AR,Admiral's Reef,Crassedoma giganteum,rock scallop,1988,Outside,TRUE,1.8219793644407039,0.0694,1988-01-01,11,Outside
AN,Anacapa,AR,Admiral's Reef,Crassedoma giganteum,rock scallop,1989,Outside,TRUE,5.561489395615207,0.0806,1989-01-01,11,Outside
AN,Anacapa,AR,Admiral's Reef,Crassedoma giganteum,rock scallop,1990,Outside,TRUE,3.518102842427262,0.0833,1990-01-01,11,Outside
AN,Anacapa,AR,Admiral's Reef,Crassedoma giganteum,rock scallop,1991,Outside,TRUE,6.095788972287237,0.0583,1991-01-01,11,Outside
AN,Anacapa,AR,Admiral's Reef,Crassedoma giganteum,rock scallop,1992,Outside,TRUE,10.847170331457413,0.1333,1992-01-01,11,Outside
AN,Anacapa,AR,Admiral's Reef,Crassedoma giganteum,rock scallop,1993,Outside,TRUE,33.37054480885709,0.4264,1993-01-01,11,Outside
AN,Anacapa,AR,Admiral's Reef,Crassedoma giganteum,rock scallop,1994,Outside,TRUE,22.70441572932673,0.2431,1994-01-01,11,Outside
AN,Anacapa,AR,Admiral's Reef,Crassedoma giganteum,rock scallop,1995,Outside,TRUE,2.5832566103918952,0.0444,1995-01-01,11,Outside
AN,Anacapa,AR,Admiral's Reef,Crassedoma giganteum,rock scallop,1996,Outside,TRUE,5.920441445767644,0.0556,1996-01-01,11,Outside
AN,Anacapa,AR,Admiral's Reef,Crassedoma giganteum,rock scallop,1997,Outside,TRUE,8.143902336906606,0.0833,1997-01-01,11,Outside
AN,Anacapa,AR,Admiral's Reef,Crassedoma giganteum,rock scallop,1998,Outside,TRUE,7.8277031076721,0.1125,1998-01-01,11,Outside
AN,Anacapa,AR,Admiral's Reef,Crassedoma giganteum,rock scallop,1999,Outside,TRUE,6.809455446339005,0.0556,1999-01-01,11,Outside
AN,Anacapa,AR,Admiral's Reef,Crassedoma giganteum,rock scallop,2000,Outside,TRUE,5.520245362205482,0.1208,2000-01-01,11,Outside
AN,Anacapa,AR,Admiral's Reef,Crassedoma giganteum,rock scallop,2001,Outside,TRUE,21.99136035218229,0.1472,2001-01-01,11,Outside
AN,Anacapa,AR,Admiral's Reef,Crassedoma giganteum,rock scallop,2002,Outside,TRUE,1.5446362731768233,0.0639,2002-01-01,11,Outside
AN,Anacapa,AR,Admiral's Reef,Crassedoma giganteum,rock scallop,2003,Outside,TRUE,1.0546111485359007,0.0528,2003-01-01,11,Outside
AN,Anacapa,AR,Admiral's Reef,Crassedoma giganteum,rock scallop,2004,Outside,TRUE,3.6783818183298322,0.0264,2004-01-01,11,Outside
AN,Anacapa,AR,Admiral's Reef,Crassedoma giganteum,rock scallop,2005,Outside,TRUE,4.240587623168528,0.0153,2005-01-01,11,Outside
AN,Anacapa,AR,Admiral's Reef,Crassedoma giganteum,rock scallop,2006,Outside,TRUE,9.011262495579523,0.0319,2006-01-01,11,Outside
AN,Anacapa,AR,Admiral's Reef,Crassedoma giganteum,rock scallop,2007,Outside,TRUE,6.1313542580139675,0.0653,2007-01-01,11,Outside
AN,Anacapa,AR,Admiral's Reef,Crassedoma giganteum,rock scallop,2008,Outside,TRUE,2.8882502157437124,0.0208,2008-01-01,11,Outside
AN,Anacapa,AR,Admiral's Reef,Crassedoma giganteum,rock scallop,2009,Outside,TRUE,0.2364310605468528,0.025,2009-01-01,11,Outside
AN,Anacapa,AR,Admiral's Reef,Crassedoma giganteum,rock scallop,2010,Outside,TRUE,3.9783055902776936,0.0181,2010-01-01,11,Outside
AN,Anacapa,AR,Admiral's Reef,Crassedoma giganteum,rock scallop,2011,Outside,TRUE,1.0565560001111878,0.0139,2011-01-01,11,Outside
AN,Anacapa,AR,Admiral's Reef,Crassedoma giganteum,rock scallop,2012,Outside,TRUE,4.5531405971639165,0.0194,2012-01-01,11,Outside
AN,Anacapa,AR,Admiral's Reef,Crassedoma giganteum,rock scallop,2013,Outside,TRUE,6.872025679225552,0.0222,2013-01-01,11,Outside
AN,Anacapa,AR,Admiral's Reef,Crassedoma giganteum,rock scallop,2014,Outside,TRUE,5.141497607133687,0.0264,2014-01-01,11,Outside
AN,Anacapa,AR,Admiral's Reef,Crassedoma giganteum,rock scallop,2015,Outside,TRUE,8.301712398297495,0.0556,2015-01-01,11,Outside
AN,Anacapa,AR,Admiral's Reef,Crassedoma giganteum,rock scallop,2016,Outside,TRUE,5.385426706341639,0.0431,2016-01-01,11,Outside
AN,Anacapa,AR,Admiral's Reef,Crassedoma giganteum,rock scallop,2017,Outside,TRUE,18.058834709735798,0.1417,2017-01-01,11,Outside
AN,Anacapa,AR,Admiral's Reef,Crassedoma giganteum,rock scallop,2018,Outside,TRUE,27.162964553813772,0.1847,2018-01-01,11,Outside
AN,Anacapa,AR,Admiral's Reef,Crassedoma giganteum,rock scallop,2019,Outside,TRUE,15.87059928336901,0.1597,2019-01-01,11,Outside
AN,Anacapa,AR,Admiral's Reef,Haliotis rufescens,red abalone,1983,Outside,TRUE,0.0076372215596476715,0.0025,1983-01-01,11,Outside
AN,Anacapa,AR,Admiral's Reef,Haliotis rufescens,red abalone,1984,Outside,TRUE,0,0,1984-01-01,11,Outside
AN,Anacapa,AR,Admiral's Reef,Haliotis rufescens,red abalone,1985,Outside,TRUE,0.0023950326811055097,0.0014,1985-01-01,11,Outside
AN,Anacapa,AR,Admiral's Reef,Haliotis rufescens,red abalone,1986,Outside,TRUE,0,0,1986-01-01,11,Outside
AN,Anacapa,AR,Admiral's Reef,Haliotis rufescens,red abalone,1987,Outside,TRUE,0,0,1987-01-01,11,Outside
AN,Anacapa,AR,Admiral's Reef,Haliotis rufescens,red abalone,1988,Outside,TRUE,0.4645534985341514,0.0015,1988-01-01,11,Outside
AN,Anacapa,AR,Admiral's Reef,Haliotis rufescens,red abalone,1989,Outside,TRUE,0,0,1989-01-01,11,Outside
AN,Anacapa,AR,Admiral's Reef,Haliotis rufescens,red abalone,1990,Outside,TRUE,0.021555294129949585,0.0042,1990-01-01,11,Outside
AN,Anacapa,AR,Admiral's Reef,Haliotis rufescens,red abalone,1991,Outside,TRUE,0,0,1991-01-01,11,Outside
AN,Anacapa,AR,Admiral's Reef,Haliotis rufescens,red abalone,1992,Outside,TRUE,0.0023950326811055097,0.0014,1992-01-01,11,Outside
AN,Anacapa,AR,Admiral's Reef,Haliotis rufescens,red abalone,1993,Outside,TRUE,0,0,1993-01-01,11,Outside
AN,Anacapa,AR,Admiral's Reef,Haliotis rufescens,red abalone,1994,Outside,TRUE,0,0,1994-01-01,11,Outside
AN,Anacapa,AR,Admiral's Reef,Haliotis rufescens,red abalone,1995,Outside,TRUE,0,0,1995-01-01,11,Outside
AN,Anacapa,AR,Admiral's Reef,Haliotis rufescens,red abalone,1996,Outside,TRUE,0,0,1996-01-01,11,Outside
AN,Anacapa,AR,Admiral's Reef,Haliotis rufescens,red abalone,1997,Outside,TRUE,0,0,1997-01-01,11,Outside
AN,Anacapa,AR,Admiral's Reef,Haliotis rufescens,red abalone,1998,Outside,TRUE,0,0,1998-01-01,11,Outside
AN,Anacapa,AR,Admiral's Reef,Haliotis rufescens,red abalone,1999,Outside,TRUE,0,0,1999-01-01,11,Outside
AN,Anacapa,AR,Admiral's Reef,Haliotis rufescens,red abalone,2000,Outside,TRUE,0,0,2000-01-01,11,Outside
AN,Anacapa,AR,Admiral's Reef,Haliotis rufescens,red abalone,2001,Outside,TRUE,0,0,2001-01-01,11,Outside
AN,Anacapa,AR,Admiral's Reef,Haliotis rufescens,red abalone,2002,Outside,TRUE,0,0,2002-01-01,11,Outside
AN,Anacapa,AR,Admiral's Reef,Haliotis rufescens,red abalone,2003,Outside,TRUE,0,0,2003-01-01,11,Outside
AN,Anacapa,AR,Admiral's Reef,Haliotis rufescens,red abalone,2004,Outside,TRUE,0,0,2004-01-01,11,Outside
AN,Anacapa,AR,Admiral's Reef,Haliotis rufescens,red abalone,2005,Outside,TRUE,0,0,2005-01-01,11,Outside
AN,Anacapa,AR,Admiral's Reef,Haliotis rufescens,red abalone,2006,Outside,TRUE,0,0,2006-01-01,11,Outside
AN,Anacapa,AR,Admiral's Reef,Haliotis rufescens,red abalone,2007,Outside,TRUE,0,0,2007-01-01,11,Outside
AN,Anacapa,AR,Admiral's Reef,Haliotis rufescens,red abalone,2008,Outside,TRUE,0,0,2008-01-01,11,Outside
AN,Anacapa,AR,Admiral's Reef,Haliotis rufescens,red abalone,2009,Outside,TRUE,0,0,2009-01-01,11,Outside
AN,Anacapa,AR,Admiral's Reef,Haliotis rufescens,red abalone,2010,Outside,TRUE,0,0,2010-01-01,11,Outside
AN,Anacapa,AR,Admiral's Reef,Haliotis rufescens,red abalone,2011,Outside,TRUE,0,0,2011-01-01,11,Outside
AN,Anacapa,AR,Admiral's Reef,Haliotis rufescens,red abalone,2012,Outside,TRUE,0,0,2012-01-01,11,Outside
AN,Anacapa,AR,Admiral's Reef,Haliotis rufescens,red abalone,2013,Outside,TRUE,0,0,2013-01-01,11,Outside
AN,Anacapa,AR,Admiral's Reef,Haliotis rufescens,red abalone,2014,Outside,TRUE,0,0,2014-01-01,11,Outside
AN,Anacapa,AR,Admiral's Reef,Haliotis rufescens,red abalone,2015,Outside,TRUE,0,0,2015-01-01,11,Outside
AN,Anacapa,AR,Admiral's Reef,Haliotis rufescens,red abalone,2016,Outside,TRUE,0,0,2016-01-01,11,Outside
AN,Anacapa,AR,Admiral's Reef,Haliotis rufescens,red abalone,2017,Outside,TRUE,0,0,2017-01-01,11,Outside
AN,Anacapa,AR,Admiral's Reef,Haliotis rufescens,red abalone,2018,Outside,TRUE,0,0,2018-01-01,11,Outside
AN,Anacapa,AR,Admiral's Reef,Haliotis rufescens,red abalone,2019,Outside,TRUE,0,0,2019-01-01,11,Outside
AN,Anacapa,AR,Admiral's Reef,Kelletia kelletii,Kellet's whelk,1983,Outside,TRUE,0.007218652894083526,0.005,1983-01-01,11,Outside
AN,Anacapa,AR,Admiral's Reef,Kelletia kelletii,Kellet's whelk,1984,Outside,TRUE,0.21836425004602666,0.0275,1984-01-01,11,Outside
AN,Anacapa,AR,Admiral's Reef,Kelletia kelletii,Kellet's whelk,1985,Outside,TRUE,4.2910008237712605,0.0403,1985-01-01,11,Outside
AN,Anacapa,AR,Admiral's Reef,Kelletia kelletii,Kellet's whelk,1986,Outside,TRUE,0.0022637695475845937,0.0028,1986-01-01,11,Outside
AN,Anacapa,AR,Admiral's Reef,Kelletia kelletii,Kellet's whelk,1987,Outside,TRUE,2.3668924231487907,0.0194,1987-01-01,11,Outside
AN,Anacapa,AR,Admiral's Reef,Kelletia kelletii,Kellet's whelk,1988,Outside,TRUE,2.149300706744759,0.0181,1988-01-01,11,Outside
AN,Anacapa,AR,Admiral's Reef,Kelletia kelletii,Kellet's whelk,1989,Outside,TRUE,0.6255003013422672,0.0042,1989-01-01,11,Outside
AN,Anacapa,AR,Admiral's Reef,Kelletia kelletii,Kellet's whelk,1990,Outside,TRUE,0.7824333463843384,0.0056,1990-01-01,11,Outside
