IslandCode,IslandName,SiteCode,SiteName,ScientificName,SurveyYear,ReserveStatus,ReserveYear,Mean_Density
AN,Anacapa Island,AR,Admiral's Reef,Chromis punctipinnis,1985,Outside,Outside,0.9267
AN,Anacapa Island,AR,Admiral's Reef,Chromis punctipinnis,1986,Outside,Outside,0.13
AN,Anacapa Island,AR,Admiral's Reef,Chromis punctipinnis,1987,Outside,Outside,1.035
AN,Anacapa Island,AR,Admiral's Reef,Chromis punctipinnis,1988,Outside,Outside,0.4283
AN,Anacapa Island,AR,Admiral's Reef,Chromis punctipinnis,1989,Outside,Outside,0.06
AN,Anacapa Island,AR,Admiral's Reef,Chromis punctipinnis,1990,Outside,Outside,2.925
AN,Anacapa Island,AR,Admiral's Reef,Chromis punctipinnis,1991,Outside,Outside,0.3283
AN,Anacapa Island,AR,Admiral's Reef,Chromis punctipinnis,1992,Outside,Outside,1.1
AN,Anacapa Island,AR,Admiral's Reef,Chromis punctipinnis,1993,Outside,Outside,0.2583
AN,Anacapa Island,AR,Admiral's Reef,Chromis punctipinnis,1994,Outside,Outside,0.755
AN,Anacapa Island,AR,Admiral's Reef,Chromis punctipinnis,1995,Outside,Outside,0.1183
AN,Anacapa Island,AR,Admiral's Reef,Chromis punctipinnis,1996,Outside,Outside,0.315
AN,Anacapa Island,AR,Admiral's Reef,Chromis punctipinnis,1997,Outside,Outside,0.2017
AN,Anacapa Island,AR,Admiral's Reef,Chromis punctipinnis,1998,Outside,Outside,0.3
AN,Anacapa Island,AR,Admiral's Reef,Chromis punctipinnis,1999,Outside,Outside,0
AN,Anacapa Island,AR,Admiral's Reef,Chromis punctipinnis,2000,Outside,Outside,0.035
AN,Anacapa Island,AR,Admiral's Reef,Chromis punctipinnis,2001,Outside,Outside,0
AN,Anacapa Island,AR,Admiral's Reef,Chromis punctipinnis,2002,Outside,Outside,0
AN,Anacapa Island,AR,Admiral's Reef,Chromis punctipinnis,2003,Outside,Outside,0.5283
AN,Anacapa Island,AR,Admiral's Reef,Chromis punctipinnis,2004,Outside,Outside,0.25
AN,Anacapa Island,AR,Admiral's Reef,Chromis punctipinnis,2005,Outside,Outside,0.5017
AN,Anacapa Island,AR,Admiral's Reef,Chromis punctipinnis,2006,Outside,Outside,0.1233
AN,Anacapa Island,AR,Admiral's Reef,Chromis punctipinnis,2007,Outside,Outside,0.0267
AN,Anacapa Island,AR,Admiral's Reef,Chromis punctipinnis,2008,Outside,Outside,0.2417
AN,Anacapa Island,AR,Admiral's Reef,Chromis punctipinnis,2009,Outside,Outside,0.0917
AN,Anacapa Island,AR,Admiral's Reef,Chromis punctipinnis,2010,Outside,Outside,0.2083
AN,Anacapa Island,AR,Admiral's Reef,Chromis punctipinnis,2011,Outside,Outside,0.0833
AN,Anacapa Island,AR,Admiral's Reef,Chromis punctipinnis,2012,Outside,Outside,0.1367
AN,Anacapa Island,AR,Admiral's Reef,Chromis punctipinnis,2013,Outside,Outside,0.06
AN,Anacapa Island,AR,Admiral's Reef,Chromis punctipinnis,2014,Outside,Outside,0.775
AN,Anacapa Island,AR,Admiral's Reef,Chromis punctipinnis,2015,Outside,Outside,1.0117
AN,Anacapa Island,AR,Admiral's Reef,Chromis punctipinnis,2016,Outside,Outside,0.6467
AN,Anacapa Island,AR,Admiral's Reef,Chromis punctipinnis,2017,Outside,Outside,0.0367
AN,Anacapa Island,AR,Admiral's Reef,Chromis punctipinnis,2018,Outside,Outside,0.0017
AN,Anacapa Island,AR,Admiral's Reef,Chromis punctipinnis,2019,Outside,Outside,0.0033
AN,Anacapa Island,AR,Admiral's Reef,Embiotoca jacksoni,1985,Outside,Outside,0.025
