SiteNumber,IslandCode,IslandName,SiteCode,SiteName,Species,ScientificName,CommonName,SurveyYear,ReserveStatus,ReserveYear,Area_Surveyed,Total_Count,Percent_Cover
1,SM,San Miguel Island,WL,Wyckoff Ledge,1001,Chlorophyta,green algae,1985,Outside,Outside,10,1,0.1
1,SM,San Miguel Island,WL,Wyckoff Ledge,1001,Chlorophyta,green algae,1986,Outside,Outside,10,2,0.2
1,SM,San Miguel Island,WL,Wyckoff Ledge,1001,Chlorophyta,green algae,1987,Outside,Outside,10,0,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1001,Chlorophyta,green algae,1988,Outside,Outside,10,2,0.2
1,SM,San Miguel Island,WL,Wyckoff Ledge,1001,Chlorophyta,green algae,1989,Outside,Outside,10,3,0.3
1,SM,San Miguel Island,WL,Wyckoff Ledge,1001,Chlorophyta,green algae,1990,Outside,Outside,10,0,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1001,Chlorophyta,green algae,1991,Outside,Outside,10,1,0.1
1,SM,San Miguel Island,WL,Wyckoff Ledge,1001,Chlorophyta,green algae,1992,Outside,Outside,10,0,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1001,Chlorophyta,green algae,1993,Outside,Outside,10,6,0.6
1,SM,San Miguel Island,WL,Wyckoff Ledge,1001,Chlorophyta,green algae,1994,Outside,Outside,10,0,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1001,Chlorophyta,green algae,1995,Outside,Outside,10,2,0.2
1,SM,San Miguel Island,WL,Wyckoff Ledge,1001,Chlorophyta,green algae,1996,Outside,Outside,6,1,0.1667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1001,Chlorophyta,green algae,1997,Outside,Outside,6,0,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1001,Chlorophyta,green algae,1998,Outside,Outside,6,9,1.5
1,SM,San Miguel Island,WL,Wyckoff Ledge,1001,Chlorophyta,green algae,1999,Outside,Outside,6,0,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1001,Chlorophyta,green algae,2000,Outside,Outside,6,4,0.6667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1001,Chlorophyta,green algae,2001,Outside,Outside,6,0,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1001,Chlorophyta,green algae,2002,Outside,Outside,6,2,0.3333
1,SM,San Miguel Island,WL,Wyckoff Ledge,1001,Chlorophyta,green algae,2003,Outside,Outside,6,0,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1001,Chlorophyta,green algae,2004,Outside,Outside,6,0,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1001,Chlorophyta,green algae,2005,Outside,Outside,6,1,0.1667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1001,Chlorophyta,green algae,2006,Outside,Outside,6,1,0.1667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1001,Chlorophyta,green algae,2007,Outside,Outside,6,2,0.3333
1,SM,San Miguel Island,WL,Wyckoff Ledge,1001,Chlorophyta,green algae,2008,Outside,Outside,6,0,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1001,Chlorophyta,green algae,2009,Outside,Outside,6,1,0.1667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1001,Chlorophyta,green algae,2010,Outside,Outside,6,0,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1001,Chlorophyta,green algae,2011,Outside,Outside,6,0,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1001,Chlorophyta,green algae,2012,Outside,Outside,6,0,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1001,Chlorophyta,green algae,2013,Outside,Outside,6,0,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1001,Chlorophyta,green algae,2014,Outside,Outside,6,0,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1001,Chlorophyta,green algae,2015,Outside,Outside,6,1,0.1667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1001,Chlorophyta,green algae,2016,Outside,Outside,6,0,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1001,Chlorophyta,green algae,2017,Outside,Outside,6,0,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1001,Chlorophyta,green algae,2018,Outside,Outside,6,1,0.1667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1001,Chlorophyta,green algae,2019,Outside,Outside,6,7,1.1667
1,SM,San Miguel Island,WL,Wyckoff Ledge,2001,Phaeophyta,brown algae (miscellaneous),1982,Outside,Outside,5,18,3.6
1,SM,San Miguel Island,WL,Wyckoff Ledge,2001,Phaeophyta,brown algae (miscellaneous),1983,Outside,Outside,4,262,65.5
1,SM,San Miguel Island,WL,Wyckoff Ledge,2001,Phaeophyta,brown algae (miscellaneous),1984,Outside,Outside,5,60,12
1,SM,San Miguel Island,WL,Wyckoff Ledge,2001,Phaeophyta,brown algae (miscellaneous),1985,Outside,Outside,10,2,0.2
1,SM,San Miguel Island,WL,Wyckoff Ledge,2001,Phaeophyta,brown algae (miscellaneous),1986,Outside,Outside,10,2,0.2
1,SM,San Miguel Island,WL,Wyckoff Ledge,2001,Phaeophyta,brown algae (miscellaneous),1987,Outside,Outside,10,6,0.6
1,SM,San Miguel Island,WL,Wyckoff Ledge,2001,Phaeophyta,brown algae (miscellaneous),1988,Outside,Outside,10,2,0.2
1,SM,San Miguel Island,WL,Wyckoff Ledge,2001,Phaeophyta,brown algae (miscellaneous),1989,Outside,Outside,10,18,1.8
1,SM,San Miguel Island,WL,Wyckoff Ledge,2001,Phaeophyta,brown algae (miscellaneous),1990,Outside,Outside,10,5,0.5
1,SM,San Miguel Island,WL,Wyckoff Ledge,2001,Phaeophyta,brown algae (miscellaneous),1991,Outside,Outside,10,4,0.4
1,SM,San Miguel Island,WL,Wyckoff Ledge,2001,Phaeophyta,brown algae (miscellaneous),1992,Outside,Outside,10,10,1
1,SM,San Miguel Island,WL,Wyckoff Ledge,2001,Phaeophyta,brown algae (miscellaneous),1993,Outside,Outside,10,1,0.1
1,SM,San Miguel Island,WL,Wyckoff Ledge,2001,Phaeophyta,brown algae (miscellaneous),1994,Outside,Outside,10,3,0.3
1,SM,San Miguel Island,WL,Wyckoff Ledge,2001,Phaeophyta,brown algae (miscellaneous),1995,Outside,Outside,10,15,1.5
1,SM,San Miguel Island,WL,Wyckoff Ledge,2001,Phaeophyta,brown algae (miscellaneous),1996,Outside,Outside,6,9,1.5
1,SM,San Miguel Island,WL,Wyckoff Ledge,2001,Phaeophyta,brown algae (miscellaneous),1997,Outside,Outside,6,15,2.5
1,SM,San Miguel Island,WL,Wyckoff Ledge,2001,Phaeophyta,brown algae (miscellaneous),1998,Outside,Outside,6,2,0.3333
1,SM,San Miguel Island,WL,Wyckoff Ledge,2001,Phaeophyta,brown algae (miscellaneous),1999,Outside,Outside,6,24,4
1,SM,San Miguel Island,WL,Wyckoff Ledge,2001,Phaeophyta,brown algae (miscellaneous),2000,Outside,Outside,6,26,4.3333
1,SM,San Miguel Island,WL,Wyckoff Ledge,2001,Phaeophyta,brown algae (miscellaneous),2001,Outside,Outside,6,16,2.6667
1,SM,San Miguel Island,WL,Wyckoff Ledge,2001,Phaeophyta,brown algae (miscellaneous),2002,Outside,Outside,6,20,3.3333
1,SM,San Miguel Island,WL,Wyckoff Ledge,2001,Phaeophyta,brown algae (miscellaneous),2003,Outside,Outside,6,32,5.3333
1,SM,San Miguel Island,WL,Wyckoff Ledge,2001,Phaeophyta,brown algae (miscellaneous),2004,Outside,Outside,6,6,1
1,SM,San Miguel Island,WL,Wyckoff Ledge,2001,Phaeophyta,brown algae (miscellaneous),2005,Outside,Outside,6,74,12.3333
1,SM,San Miguel Island,WL,Wyckoff Ledge,2001,Phaeophyta,brown algae (miscellaneous),2006,Outside,Outside,6,73,12.1667
1,SM,San Miguel Island,WL,Wyckoff Ledge,2001,Phaeophyta,brown algae (miscellaneous),2007,Outside,Outside,6,45,7.5
1,SM,San Miguel Island,WL,Wyckoff Ledge,2001,Phaeophyta,brown algae (miscellaneous),2008,Outside,Outside,6,24,4
1,SM,San Miguel Island,WL,Wyckoff Ledge,2001,Phaeophyta,brown algae (miscellaneous),2009,Outside,Outside,6,68,11.3333
1,SM,San Miguel Island,WL,Wyckoff Ledge,2001,Phaeophyta,brown algae (miscellaneous),2010,Outside,Outside,6,68,11.3333
1,SM,San Miguel Island,WL,Wyckoff Ledge,2001,Phaeophyta,brown algae (miscellaneous),2011,Outside,Outside,6,36,6
1,SM,San Miguel Island,WL,Wyckoff Ledge,2001,Phaeophyta,brown algae (miscellaneous),2012,Outside,Outside,6,74,12.3333
1,SM,San Miguel Island,WL,Wyckoff Ledge,2001,Phaeophyta,brown algae (miscellaneous),2013,Outside,Outside,6,14,2.3333
1,SM,San Miguel Island,WL,Wyckoff Ledge,2001,Phaeophyta,brown algae (miscellaneous),2014,Outside,Outside,6,19,3.1667
1,SM,San Miguel Island,WL,Wyckoff Ledge,2001,Phaeophyta,brown algae (miscellaneous),2015,Outside,Outside,6,19,3.1667
1,SM,San Miguel Island,WL,Wyckoff Ledge,2001,Phaeophyta,brown algae (miscellaneous),2016,Outside,Outside,6,14,2.3333
1,SM,San Miguel Island,WL,Wyckoff Ledge,2001,Phaeophyta,brown algae (miscellaneous),2017,Outside,Outside,6,30,5
1,SM,San Miguel Island,WL,Wyckoff Ledge,2001,Phaeophyta,brown algae (miscellaneous),2018,Outside,Outside,6,7,1.1667
1,SM,San Miguel Island,WL,Wyckoff Ledge,2001,Phaeophyta,brown algae (miscellaneous),2019,Outside,Outside,6,0,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,2003,Desmarestia,acid weed,1984,Outside,Outside,5,8,1.6
1,SM,San Miguel Island,WL,Wyckoff Ledge,2003,Desmarestia,acid weed,1985,Outside,Outside,10,5,0.5
1,SM,San Miguel Island,WL,Wyckoff Ledge,2003,Desmarestia,acid weed,1986,Outside,Outside,10,537,53.7
1,SM,San Miguel Island,WL,Wyckoff Ledge,2003,Desmarestia,acid weed,1987,Outside,Outside,10,0,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,2003,Desmarestia,acid weed,1988,Outside,Outside,10,730,73
1,SM,San Miguel Island,WL,Wyckoff Ledge,2003,Desmarestia,acid weed,1989,Outside,Outside,10,23,2.3
1,SM,San Miguel Island,WL,Wyckoff Ledge,2003,Desmarestia,acid weed,1990,Outside,Outside,10,88,8.8
1,SM,San Miguel Island,WL,Wyckoff Ledge,2003,Desmarestia,acid weed,1991,Outside,Outside,10,11,1.1
1,SM,San Miguel Island,WL,Wyckoff Ledge,2003,Desmarestia,acid weed,1992,Outside,Outside,10,15,1.5
1,SM,San Miguel Island,WL,Wyckoff Ledge,2003,Desmarestia,acid weed,1993,Outside,Outside,10,144,14.4
1,SM,San Miguel Island,WL,Wyckoff Ledge,2003,Desmarestia,acid weed,1994,Outside,Outside,10,12,1.2
1,SM,San Miguel Island,WL,Wyckoff Ledge,2003,Desmarestia,acid weed,1995,Outside,Outside,10,317,31.7
1,SM,San Miguel Island,WL,Wyckoff Ledge,2003,Desmarestia,acid weed,1996,Outside,Outside,6,203,33.8333
1,SM,San Miguel Island,WL,Wyckoff Ledge,2003,Desmarestia,acid weed,1997,Outside,Outside,6,77,12.8333
1,SM,San Miguel Island,WL,Wyckoff Ledge,2003,Desmarestia,acid weed,1998,Outside,Outside,6,109,18.1667
1,SM,San Miguel Island,WL,Wyckoff Ledge,2003,Desmarestia,acid weed,1999,Outside,Outside,6,1,0.1667
1,SM,San Miguel Island,WL,Wyckoff Ledge,2003,Desmarestia,acid weed,2000,Outside,Outside,6,332,55.3333
1,SM,San Miguel Island,WL,Wyckoff Ledge,2003,Desmarestia,acid weed,2001,Outside,Outside,6,178,29.6667
1,SM,San Miguel Island,WL,Wyckoff Ledge,2003,Desmarestia,acid weed,2002,Outside,Outside,6,50,8.3333
1,SM,San Miguel Island,WL,Wyckoff Ledge,2003,Desmarestia,acid weed,2003,Outside,Outside,6,6,1
1,SM,San Miguel Island,WL,Wyckoff Ledge,2003,Desmarestia,acid weed,2004,Outside,Outside,6,0,0
