SurveyYear,Month,Date,DateStart,DateEnd,PDO_ANOM,Mean_PDO_ANOM,ONI_ANOM,Mean_ONI_ANOM
2005,1,2005-01-01,2005-01-01,2005-02-01,-0.26,0.018333333333333333,0.76,0.04166666666666667
2005,2,2005-02-01,2005-02-01,2005-03-01,-0.01,0.018333333333333333,0.46,0.04166666666666667
2005,3,2005-03-01,2005-03-01,2005-04-01,0,0.018333333333333333,0.53,0.04166666666666667
2005,4,2005-04-01,2005-04-01,2005-05-01,0.05,0.018333333333333333,0.35,0.04166666666666667
2005,5,2005-05-01,2005-05-01,2005-06-01,0.18,0.018333333333333333,0.39,0.04166666666666667
2005,6,2005-06-01,2005-06-01,2005-07-01,0.14,0.018333333333333333,0.12,0.04166666666666667
2005,7,2005-07-01,2005-07-01,2005-08-01,0.29,0.018333333333333333,-0.19,0.04166666666666667
2005,8,2005-08-01,2005-08-01,2005-09-01,0.23,0.018333333333333333,-0.1,0.04166666666666667
2005,9,2005-09-01,2005-09-01,2005-10-01,-0.04,0.018333333333333333,-0.11,0.04166666666666667
2005,10,2005-10-01,2005-10-01,2005-11-01,-0.25,0.018333333333333333,-0.1,0.04166666666666667
2005,11,2005-11-01,2005-11-01,2005-12-01,-0.19,0.018333333333333333,-0.64,0.04166666666666667
2005,12,2005-12-01,2005-12-01,2006-01-01,0.08,0.018333333333333333,-0.97,0.04166666666666667
2006,1,2006-01-01,2006-01-01,2006-02-01,-0.01,-0.5166666666666666,-0.81,0.11416666666666668
2006,2,2006-02-01,2006-02-01,2006-03-01,-0.19,-0.5166666666666666,-0.57,0.11416666666666668
2006,3,2006-03-01,2006-03-01,2006-04-01,-0.56,-0.5166666666666666,-0.62,0.11416666666666668
2006,4,2006-04-01,2006-04-01,2006-05-01,-0.44,-0.5166666666666666,-0.22,0.11416666666666668
2006,5,2006-05-01,2006-05-01,2006-06-01,-0.57,-0.5166666666666666,0,0.11416666666666668
2006,6,2006-06-01,2006-06-01,2006-07-01,-0.57,-0.5166666666666666,0.08,0.11416666666666668
2006,7,2006-07-01,2006-07-01,2006-08-01,-0.52,-0.5166666666666666,0.04,0.11416666666666668
2006,8,2006-08-01,2006-08-01,2006-09-01,-0.74,-0.5166666666666666,0.25,0.11416666666666668
2006,9,2006-09-01,2006-09-01,2006-10-01,-0.82,-0.5166666666666666,0.52,0.11416666666666668
2006,10,2006-10-01,2006-10-01,2006-11-01,-0.59,-0.5166666666666666,0.66,0.11416666666666668
2006,11,2006-11-01,2006-11-01,2006-12-01,-0.61,-0.5166666666666666,0.95,0.11416666666666668
2006,12,2006-12-01,2006-12-01,2007-01-01,-0.58,-0.5166666666666666,1.09,0.11416666666666668
2007,1,2007-01-01,2007-01-01,2007-02-01,-1.01,-0.9416666666666667,0.8,-0.5908333333333333
2007,2,2007-02-01,2007-02-01,2007-03-01,-1.09,-0.9416666666666667,0.23,-0.5908333333333333
2007,3,2007-03-01,2007-03-01,2007-04-01,-1.19,-0.9416666666666667,-0.09,-0.5908333333333333
2007,4,2007-04-01,2007-04-01,2007-05-01,-0.93,-0.9416666666666667,-0.22,-0.5908333333333333
2007,5,2007-05-01,2007-05-01,2007-06-01,-0.86,-0.9416666666666667,-0.38,-0.5908333333333333
